,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
305,2,SPD,Sozialdemokratische Partei Deutschlands,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,stimme nicht zu,"Wer vor Verfolgung, Tod und Terror zu uns geflohen ist und als schutzberechtigt anerkannt ist, soll auch seine Familie in Sicherheit bringen dürfen. Das gebietet die Menschlichkeit und das internationale Flüchtlingsrecht gleichermaßen. Die Regelungen für den Familiennachzug von subsidiär Schutzberechtigten wollen wir daher auch wieder an die für Flüchtlinge angleichen. Dabei werden wir auch Regelungen für den Geschwisternachzug zu unbegleiteten minderjährigen Flüchtlingen schaffen."
306,3,AfD,Alternative für Deutschland,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,stimme zu,Familiennachzug für Flüchtlinge erhöht die unqualifizierte Zuwanderung nach Deutschland um ein Vielfaches und endet fast immer dauerhaft im sozialen Netz. Wir lehnen dies ab. Die Familieneinheit kann in Drittländern hergestellt werden.
307,4,FDP,Freie Demokratische Partei,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,neutral,"Der Familiennachzug muss perspektivisch für alle Migrantengruppen nach den gleichen Kriterien geregelt werden. Von individuellen Härtefällen abgesehen, muss derjenige, der seine Kernfamilie nachholen möchte, den Nachweis erbringen, dass er seine Angehörigen selbst versorgen kann."
308,5,DIE LINKE,DIE LINKE,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,stimme nicht zu,Familiennachzug ist ein Recht. Das muss uneingeschränkt gelten. Bei unbegleiteten minderjährigen Geflüchteten muss es ein Recht auf Nachzug der Geschwisterkinder geben.
309,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,stimme nicht zu,"Wir wollen die Einschränkungen beim Familiennachzug wieder aufheben. Familien gehören zusammen und das Kindeswohl hat oberste Priorität. Auch Menschen mit subsidiärem Schutzstatus müssen deshalb ihre Angehörigen ohne die bisherigen Einschränkungen nachholen. Wir wollen den Geschwisternachzug wieder ermöglichen. An deutschen und europäischen Botschaften braucht es mehr Personal und die Möglichkeit, digital Anträge zu stellen, um die Wartezeiten für Visa von Familienangehörigen zu verkürzen."
342,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",neutral,"Wir setzen uns auf OECD-Ebene für eine faire Besteuerung der digitalen Wirtschaft ein, die dann national umgesetzt wird. Große digitale Konzerne sollen ihre Steuern auch dort zahlen, wo sie ihre Umsätze erzielen."
343,2,SPD,Sozialdemokratische Partei Deutschlands,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",stimme zu,"Unser Kanzlerkandidat Olaf Scholz hat für eine historische Vereinbarung bei der Unternehmensbesteuerung gesorgt: Künftig wird es eine globale Mindestbesteuerung geben und die Besteuerung von Internetkonzernen wird geändert. Sie können nicht mehr in Steueroasen ausweichen. Deutschland erhält das Recht auf einen Teil ihres Gewinns (nicht den Umsatz) Steuern zu erheben, auch wenn sie keine Produktionsstätte bei uns haben. Das werden wir zeitnah in europäisches und deutsches Recht umsetzen."
344,3,AfD,Alternative für Deutschland,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",stimme zu,"Die AfD fordert die Einführung einer Digitalsteuer für Tech-Riesen (""Gafam""), die nicht auf den Gewinn, sondern auf den Umsatz dieser Unternehmen erhoben wird. Denkbar ist dabei die Besteuerung von Umsätzen aus dem Platzieren personalisierter Werbung auf der Basis von Nutzerdaten, Umsätzen aus Vermittlungsdiensten zwischen Nutzern und Umsätzen aus dem Verkauf von Nutzerdaten. Deutschland sollte zügig eine nationale Digitalsteuer auf den Weg bringen."
345,4,FDP,Freie Demokratische Partei,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",stimme nicht zu,"Der Vorschlag der G7-Staaten zu einer globalen Mindeststeuer ist ein wichtiger Schritt. Ziel sollte eine weltweit faire Besteuerung von Unternehmen sein. Es darf nicht so bleiben, dass der Mittelstand seine Steuern zahlt, während einige Großunternehmen in Offshore-Steueroasen ausweichen. Es sollte nun eine globale Einigung gegen aggressive Steuervermeidung erzielt werden. Eine nationale oder europäische Digitalsteuer ist hingegen nicht zielführend."
346,5,DIE LINKE,DIE LINKE,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",stimme zu,"Die 6 größten amerikanischen Tech-Unternehmen (Amazon, Facebook, Google, Netflix, Apple und Microsoft) haben sich in den vergangenen 10 Jahren mindestens 100 Milliarden Dollar ,,gespart"". Digitalkonzerne müssen in den Ländern Steuern zahlen, in denen sie wirtschaftlich aktiv sind. Sie dürfen nicht in Steueroasen ausweichen."
347,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,10,4,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",stimme zu,"Wir wollen, dass sich alle angemessen an der Finanzierung des Gemeinwesens beteiligen und verhindern, dass große Konzerne ihre Gewinne in Steuersümpfen anfallen lassen und so unfaire Wettbewerbsvorteile erlangen. Aus diesem Grunde wollen wir Google, Facebook und Co. mit einer Digitalkonzernsteuer endlich angemessen besteuern.  Eine europäische Lösung ist wünschenswert, bei fehlender Einigung gehen wir in verstärkter Zusammenarbeit oder gemeinsam mit einzelnen Staaten voran."
380,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme nicht zu,"Für CDU und CSU ist Familie überall dort, wo Menschen miteinander dauerhaft verbunden oder verwandt sind und Verantwortung füreinander übernehmen. Wir wollen Familien ermöglichen, so zu leben, wie sie leben wollen. Bei all unseren Überlegungen haben wir die Vielfältigkeit der Familienformen im Blick. "
381,2,SPD,Sozialdemokratische Partei Deutschlands,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme nicht zu,"Familien leben in großer Vielfalt miteinander. Wir wollen das Leben aller Familien leichter machen. Entscheidend ist dabei, dass sie dauerhaft Verantwortung füreinander übernehmen - ob mit oder ohne Trauschein, ob mit gemischt- oder gleichgeschlechtlichen Eltern. Bestehende Diskriminierungen gegenüber LSBTIQ-Familien und -Kindern werden wir konsequent weiter abbauen."
382,3,AfD,Alternative für Deutschland,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme zu,"Die AfD bekennt sich zur Familie als Keimzelle unserer Gesellschaft. Sie besteht aus Vater, Mutter und Kindern. Familie bedeutet Sicherheit, Obhut, Heimat, Liebe und Glück. Wir fordern die Wiederherstellung des grundgesetzlich garantierten, besonderen Schutzes der Familie. Ein Schlüssel zu glücklicheren und stabileren Familien liegt dabei in aktivierenden familienpolitischen Maßnahmen und in einer größeren Wertschätzung der Familienarbeit."
383,4,FDP,Freie Demokratische Partei,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme nicht zu,"Für uns Freie Demokraten sind alle Lebensgemeinschaften gleich wertvoll. Wen wir lieben, wie wir lieben, wie wir leben, wie wir Kinder erziehen und aufziehen - darin müssen alle frei sein. Familie ist überall dort, wo Menschen dauerhaft und verbindlich füreinander Verantwortung übernehmen. Wir wollen eine moderne Familienpolitik, in der jede Familie ihre Entscheidungen selbst treffen kann. Wir setzen uns für ein modernes Sorge-, Adoptions-, Reproduktions- und Abtreibungsrecht ein."
384,5,DIE LINKE,DIE LINKE,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme nicht zu,"Familie ist für uns überall, wo Menschen füreinander Verantwortung übernehmen. Alle Familienformen sollen dieselben Rechte und Pflichten haben."
385,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,11,6,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",stimme nicht zu,"Familien sind so vielfältig wie unsere Gesellschaft und verdienen gleiche Unterstützung. Egal ob mit oder ohne Trauschein, mit Partner*in, getrennt oder alleinerziehend, egal ob als Vater, Mutter und Kinder, ob als Regenbogenfamilien, Patchwork- oder Mehrelternfamilien  - alle Formen sollen rechtlich und sozial abgesichert sein. Im Mittelpunkt müssen dabei stets Kinder stehen, denen der Staat gleiche Chancen gewährleisten muss."
418,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme zu,"Nach dem Parteiengesetz haben sich die Parteien überwiegend aus eigenen Mitteln zu finanzieren. Einnahmen generieren Parteien durch Mitglieds- und Mandatsträgerbeiträge. Dies allein würde es jedoch kaum einer Partei im Deutschen Bundestag ermöglichen, ihre verfassungsmäßigen Aufgaben zu erfüllen. Deshalb sind sie auch auf die Unterstützung von Spendern angewiesen. Entscheidend ist die volle Transparenz, also von wem welche Partei wie viel Geld erhält."
419,2,SPD,Sozialdemokratische Partei Deutschlands,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme zu,"Vor allem CDU und CSU werden mit sehr hohen Spenden aus der Wirtschaft bedacht. Immer wieder gibt es hier auch Verdachtsmomente, Spendengelder könnten Einfluss auf politische Entscheidungen genommen haben. Deshalb wollen wir eine jährliche Höchstgrenze von 100.000 Euro pro Spender einführen. Zudem wollen wir eine Veröffentlichungspflicht von Parteispenden schon ab 2.000 Euro einführen. Außerdem wollen wir eine Veröffentlichungspflicht von Einnahmen aus Sponsoring im Parteiengesetz regeln."
420,3,AfD,Alternative für Deutschland,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme zu,"Derzeit ist die Abzugsfähigkeit von Unternehmensspenden limitiert und es bestehen nach dem Parteiengesetz Anzeige- und Veröffentlichungspflichten. Unabhängig davon müssen im Parteiengesetz mehrere Regelungen überarbeitet und klarer formuliert werden. Dadurch soll noch mehr Transparenz nicht allein bei den Unternehmensspenden, sondern in der gesamten Struktur der staatlichen und sonstigen Parteienfinanzierung erreicht werden."
421,4,FDP,Freie Demokratische Partei,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme zu,"Spenden an Parteien gehören zu einer lebendigen Demokratie. Nur Parteien, die über laufende Einnahmen verfügen, können auf hohem Niveau an der Willensbildung des Volkes mitwirken. Und das ist nach unserer Verfassung ihr Auftrag. Unsere Verfassung erwartet sogar von den politischen Parteien, dass sie sich überwiegend aus Mitgliedsbeiträgen und Spenden finanzieren. Für uns ist die Transparenz von Parteispenden entscheidend, damit die Bürgerinnen und Bürger sich selbst eine Meinung bilden können.  "
422,5,DIE LINKE,DIE LINKE,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme nicht zu,"DIE LINKE ist die einzige Partei im Bundestag, die keine Spenden von Konzernen, Banken, Versicherungen oder Lobbyisten annimmt. Der Einfluss des Lobbyismus auf die gesamte Politik muss zurückgedrängt werden. Wir wollen Unternehmensspenden verbieten und Privatspenden begrenzen. Wir wollen ein transparentes Lobbyregister. Abgeordnete müssen alle Zuwendungen offenlegen und dürfen keine Spenden annehmen. Bei Gesetzen muss transparent gemacht werden, welche Organisationen daran mitgearbeitet haben."
423,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,12,3,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,stimme nicht zu,"Der Einfluss von Geld in der Politik muss eingeschränkt werden und auch nachvollziehbarer werden. Deshalb wollen wir Spenden von allen juristischen Personen an Parteien verbieten, dazu gehören auch Unternehmen. Parteispenden von natürlichen Personen wollen wir deckeln und auch das Parteiensponsoring transparenter machen."
456,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme nicht zu,"Wir wollen das BAföG flexibilisieren und zu einem Instrument der individuellen Förderung des Lebensunterhalts von Bildung und Weiterbildung im Lebensverlauf weiterentwickeln. Gleichwohl bleibt das BAföG eine Sozialleistung, so dass weiterhin Einkommens- und Vermögensprüfungen stattfinden werden. Dies ist ein Gebot der sozialen Gerechtigkeit."
457,2,SPD,Sozialdemokratische Partei Deutschlands,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme nicht zu,"Im Rahmen unserer Kindergrundsicherung werden wir ein neues Kindergeld schaffen: nach Einkommen der Familie gestaffelt, an Auszubildende als elternunabhängige Basisabsicherung direkt ausgezahlt. Die zusätzliche Förderung durch das BAföG wollen wir so reformieren, dass sie Studierende mit geringen Ressourcen wieder verlässlich unterstützt: Durch eine Ausweitung der Förderansprüche und die schrittweise Rückkehr zum Vollzuschuss, damit niemand aus Angst vor Verschuldung auf ein Studium verzichtet."
458,3,AfD,Alternative für Deutschland,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme nicht zu,"BAföG ist in der aktuellen Konzeption eine Sozialleistung. Darum sollen nur diejenigen es bekommen, die es wirklich brauchen. Wir möchten das BAföG künftig so umbauen, dass besonders leistungsstarken Studenten das Darlehen bis zu 100 % erlassen wird. Bei Kindererziehung während des Studiums oder bei gesellschaftlichem Engagement soll auch ein Teil der Rückzahlung erlassen werden. Zudem soll es möglich sein, auf den Darlehensanteil zu verzichten, um schuldenfrei ins Berufsleben starten zu können."
459,4,FDP,Freie Demokratische Partei,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme zu,Wir Freie Demokraten wollen ein elternunabhängiges Baukasten-BAföG einführen. Die freie Wahl des Studiums darf nicht länger von der Unterstützung der Eltern abhängen. Studierende sollen analog zum bisherigen Kindergeld beziehungsweise Kinderfreibetrag der Eltern einen monatlichen Sockelbetrag von 200 Euro erhalten. Weitere 200 Euro sollen bei ehrenamtlichem Engagement oder Nebentätigkeiten als Zuschuss gewährt werden. 
460,5,DIE LINKE,DIE LINKE,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme zu,"Studierende sollen sich unabhängig von Finanzsorgen und den Vorlieben der Eltern für eine berufliche Zukunft entscheiden können. Alle, die es brauchen, sollen BAföG erhalten, das den tatsächlichen Bedarf deckt und nicht zurückgezahlt werden muss. "
461,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,13,7,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,stimme zu,"Wir wollen, dass sich jede*r eine Ausbildung oder ein Studium leisten kann, unabhängig vom Einkommen und Vermögen der Eltern. Dafür wollen wir das BAföG zu einer Grundsicherung für Studierende und Auszubildende umbauen. Sie soll aus einem Garantiebetrag und einem Bedarfszuschuss bestehen, der den Gesamtbetrag im Vergleich zum heutigen BAföG substanziell erhöht. Studierende oder Auszubildende bekommen den Betrag direkt überwiesen. Perspektivisch soll sie elternunabhängig gestaltet sein."
494,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme nicht zu,"Eine generelle doppelte Staatsangehörigkeit lehnen wir ab. Wir setzen uns weiterhin dafür ein, dass Mehrstaatigkeit grundsätzlich vermieden wird und nur im Ausnahmefall möglich sein sollte."
495,2,SPD,Sozialdemokratische Partei Deutschlands,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,"Unsere Gesellschaft des Respekts braucht ein modernes Staatsangehörigkeitsrecht. Nachdem die SPD bereits dafür gesorgt hat, dass grundsätzlich alle in Deutschland geborenen Kinder mit der Geburt auch deutsche Staatsbürger*innen sind, werden wir zudem die generelle Möglichkeit von Mehrstaatigkeit gesetzlich verankern. Wir wollen bestehende Hürden bei Einbürgerungen abschaffen und hierfür auch die geltende Regelaufenthaltsdauer von bisher acht Jahren verkürzen."
496,3,AfD,Alternative für Deutschland,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme nicht zu,"Mehrstaatigkeit kann zu Loyalitätskonflikten der Bürger gegenüber den Staaten führen. Bedeutender ist, dass Mehrstaater Vorteile gegenüber Deutschen ohne weitere Staatsangehörigkeit genießen (können). So können sie z.B. den Staat wechseln, wenn sich die Lebensbedingungen verschlechtern oder der Strafverfolgung entgehen. Sie können in dem Staat wohnen, der die meisten Vorteile bietet. Die gegenwärtigen Möglichkeiten von Ausnahmen vom Grundsatz der Vermeidung der Mehrstaatigkeit reichen aus."
497,4,FDP,Freie Demokratische Partei,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",neutral,"Das deutsche Staatsangehörigkeitsrecht sollte im Fall einer Einbürgerung grundsätzlich auch die Mehrstaatigkeit zulassen. Ab der Enkelgeneration der Ersteingebürgerten sollten sich Menschen dann für eine Staatsangehörigkeit entscheiden müssen, außer wenn mit dem Verlust der Aufgabe der zweiten Staatsangehörigkeit rechtliche oder wirtschaftliche Nachteile verbunden sind, sie nicht aufsie verzichten können oder es sich um die Staatsangehörigkeit eines EU-Mitgliedstaates handelt."
498,5,DIE LINKE,DIE LINKE,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,"Der Zwang, die Staatsangehörigkeit (der Eltern) aufzugeben, wird oft als Preisgabe eines Teils ihrer Identität erlebt. Für viele Menschen ist das ein Haupthindernis für die Einbürgerung. Alle hier geborenen Kinder und Jugendlichen, deren Eltern dauerhaft im Land wohnen, sollen die deutsche Staatsangehörigkeit erhalten und ein Recht auf Mehrstaatlichkeit haben - ohne die Staatsbürgerschaft der Eltern ablegen zu müssen. "
499,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,14,6,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,"Wir wollen Menschen, die hier jahrelang leben und Teil dieser Gesellschaft geworden sind, früher einbürgern und Einbürgerung entbürokratisieren. Nach fünf Jahren Aufenthalt in Deutschland sollen alle einen Antrag auf Einbürgerung stellen können. Wer hier geboren wird, soll die deutsche Staatsbürgerschaft erhalten, wenn ein Elternteil rechtmäßig seinen gewöhnlichen Aufenthalt in Deutschland hat. Den Optionszwang im Staatsangehörigkeitsrecht wollen wir abschaffen und Mehrstaatigkeit anerkennen."
532,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,neutral,"Wir bekennen uns zu einer geschlechtersensibleren Sprache, insbesondere gegenüber Frauen, sowie zu einer stärkeren Sichtbarkeit in Sprache und Gesellschaft von Menschen, die sich den Geschlechterkategorien männlich und weiblich nicht zuordnen können oder wollen. Wir wollen niemanden ausschließen und stehen für Vielfalt in der deutschen Sprache. Eine Verpflichtung von Gendern lehnen wir allerdings ab."
533,2,SPD,Sozialdemokratische Partei Deutschlands,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,stimme zu,"Politik beginnt für uns seit jeher mit der Anerkennung der Realität. Nicht erst seit dem Urteil des Bundesverfassungsgerichts ist klargestellt: Es gibt auch formal mehr Geschlechteridentitäten als Mann und Frau. Weil Gleichstellung selbstverständliche eine Frage der Sprache ist, sollen Bundesbehörden diese Realität in ihren Veröffentlichungen berücksichtigen. Wir haben Respekt vor und für die Menschen. Es geht um ein Selbstverständnis von Zusammenhalt in Vielfalt."
534,3,AfD,Alternative für Deutschland,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,stimme nicht zu,"Die sogenannte ""gendergerechte Sprache"" ist eine groteske Verunstaltung der deutschen Sprache. Sie schafft keine Gleichberechtigung. Sprache darf kein Spielball ideologischer Interessen sein. Wir lehnen daher insbesondere die sogenannte ""gendergerechte Sprache"" ab und sprechen uns gegen jegliche Verpflichtung aus, sie verwenden zu müssen."
535,4,FDP,Freie Demokratische Partei,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,neutral,"Wir Freie Demokraten stehen für eine vielfältige Gesellschaft. Bundesbehörden können hier mit gutem Beispiel vorangehen, indem sie in ihren Veröffentlichungen die Vielfalt der Gesellschaft berücksichtigen. Verpflichtende Sprachregelungen sind dabei allerdings nicht zielführend.  "
536,5,DIE LINKE,DIE LINKE,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,stimme zu,Das halten wir für selbstverständlich.
537,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,15,6,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,stimme zu,"In ihren Veröffentlichungen sollen Bundesbehörden die geschlechtliche Vielfalt respektieren. Der Staat ist für alle da. Es ist ein Ausdruck seines Respekts für alle Bürger*innen, unterschiedliche Geschlechtsidentitäten sprachlich zu berücksichtigen. Für die Sprech- und Schreibweisen, die Bürger*innen verwenden, macht er damit keine Vorgaben."
570,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",stimme zu,"Nord Stream 2 leistet einen Beitrag zu mehr Versorgungssicherheit in Europa. Gemeinsam mit den EU-Partnern werden wir zugleich dafür sorgen, dass das Projekt nicht als geopolitische Waffe gegen osteuropäische Staaten missbraucht werden kann."
571,2,SPD,Sozialdemokratische Partei Deutschlands,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",stimme zu,"Eine erfolgreiche Energiewende in Europa setzt voraus, dass Strom für BürgerInnen und Wirtschaft sicher, nachhaltig und bezahlbar ist. Erdgas ist als Brückentechnologie bis zur Vollversorgung mit erneuerbaren Energien erforderlich. Die Missachtung internationalen Rechts und universeller Menschenrechte durch Russland verurteilt die SPD scharf und unterstützt Sanktionen durch die EU."
572,3,AfD,Alternative für Deutschland,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",stimme zu,"Die AfD unterstützt den Ausbau der Pipeline ""Nord Stream 2"". Durch deren Anbindung an Deutschland kann unseren Bürgern ein kostengünstiger Primärenergieträger zur Verfügung gestellt werden."
573,4,FDP,Freie Demokratische Partei,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",neutral,"Wir Freie Demokraten fordern ein Moratorium für den Weiterbau von ""Nordstream 2"", bis die russische Führung im Fall Nawalny unabhängige und umfassende Ermittlungen gewährleistet und sich die Menschenrechtslage bessert. Die Inbetriebnahme der Pipeline ""Nordstream 2"" muss in der EU gemeinsam entschieden werden. Dabei müssen auch die Interessen der Ukraine als Transitland für Energie berücksichtigt werden."
574,5,DIE LINKE,DIE LINKE,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",neutral,Für eine klimaneutrale Gesellschaft muss dem Ausstieg aus Atom und Kohle auch ein Ausstieg aus der Verbrennung von fossilem Erdgas folgen. DIE LINKE will dafür ein Erdgasausstiegsgesetz mit verbindlichem Ausstiegspfad. Die betroffenen Beschäftigten und Regionen müssen sozial abgesichert werden.
575,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,16,1,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",stimme nicht zu,",,Nord Stream 2"" zementiert die Abhängigkeit der EU von fossilen Energieimporten und widerspricht den EU-Klimazielen. Die Inbetriebnahme gefährdet die Ukraine. Eine überwältigende Anzahl unserer Partner in der EU hält die Pipeline für falsch. ,,Nord Stream 2"" ist eine wichtige Einnahmequelle der autoritären Regierung Russlands und dient der Bereicherung von Präsident Putin und dessen korrupten Umfelds. Die Pipeline schadet damit auch den Interessen und der Glaubwürdigkeit deutscher Außenpolitik."
608,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme zu,Wir werden den Solidaritätszuschlag für alle schrittweise abschaffen und gleichzeitig kleine und mittlere Einkommen bei der Einkommensteuer entlasten.
609,2,SPD,Sozialdemokratische Partei Deutschlands,17,7,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,stimme nicht zu,"Den Solidaritätszuschlag haben wir für über 90 Prozent der Bürger*innen abgeschafft. Die Einnahmen von ca. 10 Milliarden Euro aus dem verbliebenen Solidaritätszuschlag, den nur noch die Spitzenverdiener*innen zahlen, werden wir weiter brauchen - für Investitionen in unsere Infrastruktur, in Gesundheit, in Bildung und Forschung. Das ist ein gerechter Beitrag zur Finanzierung eines stabilen Gemeinwesen, der allen nutzt."
